ticker,entry_dt,exit_dt,entry,exit,reason,lot_rub,pnl_rub,pnl_pct,hold_d,win
CHMF,2022-02-16,2022-02-21,1660.96608,1544.6337588796985,SL,30000.0,-2130.117931843761,-7.10039310614587,5,False
PHOR,2022-03-29,2022-03-29,8840.884,8848.839911511599,SL,29360.96,261.218631373707,0.8896801445651199,0,True
MGNT,2022-08-04,2022-08-24,4910.491,5317.96815,TIME,29439.33,1543.4548043828265,5.242832647287918,20,True
OZON,2022-11-14,2022-12-05,1469.1469,1425.8574,TIME,29902.37,-910.5572703315722,-3.04510067373112,21,False
IRAO,2023-01-10,2023-01-19,3.570357,3.41795651822533,SL,29629.2,-1293.7175257390659,-4.36635996158879,9,False
PLZL,2023-01-26,2023-01-30,857.18571,885.5753531176696,SL,29241.08,575.2138439384513,1.9671429507338694,4,True
SBERP,2023-01-12,2023-02-01,149.204919,155.564442,TIME,29629.2,741.3245547910888,2.5020066515163712,20,True
SBERP,2023-02-03,2023-02-07,158.045803,162.24139838686494,SL,29636.05,194.8806688604859,0.6575797680881423,4,True
PHOR,2023-02-07,2023-02-07,6915.6915,6700.652493227052,SL,29636.05,-950.6893247585805,-3.2078813632673064,0,False
OZON,2023-01-19,2023-02-08,1563.65635,1709.32905,TIME,29629.2,1667.1438887459562,5.626692211554669,20,True
MAGN,2023-02-01,2023-02-15,36.0036,36.8655572411641,SL,29413.65,405.12201302970624,1.3773265576686546,14,True
SBERP,2023-02-10,2023-02-15,164.21642,158.20898171465828,SL,27324.97,-1026.4393970978022,-3.756415458453576,5,False
MAGN,2023-03-10,2023-03-17,41.174117,39.53255953786091,SL,24910.79,-1017.5743841135953,-4.084874000838975,7,False
PHOR,2023-03-27,2023-03-28,7385.7384999999995,7139.65658985331,SL,29417.78,-1009.0847290705289,-3.4301865370892326,1,False
MTLR,2023-03-20,2023-04-10,141.01409999999998,155.774421,TIME,17454.26,461.7195423964916,2.6453114735112897,21,True
MTLR,2023-04-11,2023-04-11,162.796278,162.94277837057217,SL,16678.2,2.7206490023146603,0.01631260569074996,0,True
ROSN,2023-03-28,2023-04-17,384.23841999999996,394.9605,TIME,24156.23,649.5804776491786,2.6890805297398583,20,True
TATNP,2023-03-28,2023-04-17,363.33633000000003,394.86051,TIME,28665.88,629.7989524249657,2.1970333805379973,20,True
PLZL,2023-04-14,2023-04-17,989.39893,990.2892900971068,SL,25944.12,12.42642161372239,0.047896870711831394,3,True
MTLR,2023-04-12,2023-04-18,166.646663,182.25988383739258,SL,15162.7,364.18308652397775,2.4018353362130607,6,True
IRAO,2023-03-30,2023-04-19,3.760376,3.979602,TIME,25622.37,880.4840603968987,3.4363880484002793,20,True
GMKN,2023-04-19,2023-04-21,159.055904,154.5633413851333,SL,29751.18,-869.6584461688923,-2.9231057261220976,2,False
MTLR,2023-04-24,2023-05-02,196.91969,182.73718697659487,SL,13788.8,-1006.3859234277494,-7.298575100282472,8,False
IRAO,2023-04-27,2023-05-02,4.080408,3.9648991690114244,SL,29754.43,-871.6263644532205,-2.9294003093093046,5,False
TATNP,2023-04-28,2023-05-02,414.14141,399.25141978085793,SL,27659.91,-1021.6437317764048,-3.693590224177898,4,False
PLZL,2023-04-18,2023-05-08,1036.90368,1045.8954,TIME,24112.19,184.87699599292827,0.7667366423080122,20,True
T,2023-05-19,2023-05-22,3000.3,3002.9999699699997,SL,20635.71,63.777691907971736,0.30906468402575793,3,True
IRAO,2023-05-19,2023-05-29,4.290429,4.123590077435917,SL,24868.83,-991.442162929647,-3.9866859958013583,10,False
LKOH,2023-05-16,2023-06-02,5068.5068,5455.472930832539,SL,22062.37,664.2698167464662,3.0108724345864304,17,True
PHOR,2023-06-01,2023-06-05,7692.7692,7403.635062971208,SL,25484.59,-982.8486435990588,-3.8566390261685934,4,False
T,2023-05-23,2023-06-06,3200.32,3203.199967968,SL,16423.87,72.26711402503122,0.44001270117841423,14,True
NVTK,2023-06-05,2023-06-06,1349.1349,1284.4777723890238,SL,20113.72,-983.5793549717577,-4.890091713376529,1,False
NLMK,2023-06-01,2023-06-15,146.694668,157.3252694139707,SL,21978.15,401.0794650892928,1.8249009361083293,14,True
MAGN,2023-06-16,2023-06-19,43.984398,44.02397955976019,SL,21732.38,-0.6059206037058171,-0.0027881005380258265,3,False
TATNP,2023-06-01,2023-06-21,445.74457,501.9498,TIME,23775.13,763.7659548363163,3.2124575337182852,20,True
GMKN,2023-06-20,2023-06-23,155.11551,150.49776495178074,SL,28412.87,-873.8330865426497,-3.075483351532773,3,False
PLZL,2023-06-22,2023-06-23,1126.91268,1075.2928845527683,SL,20886.31,-977.1342921617979,-4.6783481244978065,1,False
MGNT,2023-06-22,2023-06-23,4982.4982,4707.923572982534,SL,17354.58,-973.2495097522077,-5.608026871017378,1,False
MGNT,2023-06-27,2023-06-28,4790.479,4833.629594011536,SL,14469.75,185.60398619977838,1.2827034758705462,1,True
MAGN,2023-06-27,2023-07-17,45.034503,50.49495,TIME,15014.93,1083.829013628603,7.218342101019472,20,True
MGNT,2023-06-29,2023-07-19,5201.5201,5684.4315,TIME,14552.59,927.2583039227673,6.371775085553617,20,True
ALRS,2023-07-03,2023-07-24,70.61706099999999,81.061893,TIME,21764.84,802.33098180789,3.686362876124474,21,True
OZON,2023-07-25,2023-07-25,2247.72475,2249.7474775025244,SL,17797.89,42.73874097403289,0.24013375166400566,0,True
LKOH,2023-07-19,2023-07-28,5541.5541,5674.103375087603,SL,26573.36,439.46914422691924,1.6537959227847712,9,True
MAGN,2023-07-18,2023-08-04,51.60516,52.398034628381936,SL,18152.66,157.3245717537882,0.8666750313936812,17,True
TATN,2023-08-03,2023-08-04,540.054,540.5399945945999,SL,25278.25,5.426493399926608,0.0214670453845761,1,True
ROSN,2023-08-03,2023-08-07,522.802275,523.2727447672725,SL,28839.11,4.725485287880346,0.01638568349675266,4,True
ALRS,2023-08-14,2023-08-14,92.90929,87.37820728913617,SL,16201.39,-980.2214842973693,-6.050230778330559,0,False
NVTK,2023-08-08,2023-08-16,1596.35962,1597.796184022038,SL,23710.25,22.60259585750861,0.09532837425800492,8,True
SBERP,2023-08-09,2023-08-16,264.596457,254.92604714804676,SL,26418.13,-991.4590471951608,-3.7529493843627875,7,False
MTLR,2023-08-09,2023-08-23,226.0226,209.12,SL,12884.19,-975.9180712979459,-7.574539581440089,14,False
TATN,2023-08-08,2023-08-28,549.15491,588.9411,TIME,20955.62,907.5747015318619,4.330937006549374,20,True
IRAO,2023-09-07,2023-09-07,4.5504549999999995,4.342378765851858,SL,20661.47,-964.9651251575674,-4.67036045914239,0,False
LKOH,2023-08-30,2023-09-11,6789.6789,6470.835738067392,SL,20117.59,-964.3667838846729,-4.793649656269329,12,False
TATNP,2023-10-10,2023-10-11,643.56435,622.8847236916087,SL,27705.32,-917.5140804172348,-3.31168916445374,1,False
MTLR,2023-10-11,2023-10-19,233.283326,243.6311761496395,SL,16412.92,431.9022330655013,2.631477111114301,8,True
LKOH,2023-10-13,2023-10-27,7143.7143,7202.428540675292,SL,21233.37,202.26791842833418,0.9525945171601786,14,True
MGNT,2023-10-20,2023-10-31,5794.5794,5799.793942002059,SL,20835.17,98.69700316676139,0.4737038534687329,11,True
MTLR,2023-10-20,2023-10-31,261.42614,268.86972520217756,SL,14939.85,252.1227616436939,1.687585629331579,11,True
GMKN,2023-11-01,2023-11-06,175.91759,176.07589823924098,SL,25122.17,0.9230715658728084,0.003674330544984006,5,True
ROSN,2023-10-30,2023-11-17,593.309325,569.0285381117769,SL,22549.92,-944.9288780006091,-4.190386830643343,18,False
MTLR,2023-11-15,2023-11-20,315.0315,315.31499684684997,SL,13016.58,8.125133784939514,0.06242141779898802,5,True
SBERP,2023-11-13,2023-11-27,279.97799499999996,280.2299471977004,SL,27725.84,1.0377416093127039,0.0037428680585068074,14,True
MTLR,2023-11-22,2023-11-27,327.582755,301.6053785843446,SL,11549.66,-926.9820073474439,-8.026054510240508,5,False
OZON,2023-11-22,2023-11-28,2998.2998,2847.188772648128,SL,18185.99,-934.2816988062737,-5.137370573756357,6,False
OZON,2023-11-30,2023-12-01,2910.79105,2755.4817616637174,SL,16826.81,-914.1956562202761,-5.432970695100711,1,False
ALRS,2023-12-19,2024-01-08,72.797279,71.462853,TIME,15969.17,-308.54907272681635,-1.9321547251786808,20,False
TATN,2023-12-27,2024-01-09,699.9699899999999,700.5998929940008,SL,23024.3,8.416311138898045,0.036554036990909804,13,True
MGNT,2023-12-22,2024-01-11,6706.17055,7047.2952000000005,TIME,19865.72,710.1789748927454,3.574896731116443,20,True
CHMF,2024-01-09,2024-01-11,1469.1469,1470.46898529531,SL,23288.44,19.38370157879954,0.0832331473417693,2,True
T,2024-01-15,2024-01-17,3373.3373,3213.3801739870296,SL,18836.1,-911.5609209309716,-4.839435556887953,2,False
OZON,2024-01-12,2024-01-19,2940.79405,2807.025841227576,SL,19637.46,-912.442046270025,-4.646436179984708,7,False
NLMK,2024-01-12,2024-02-01,196.51964999999998,200.139984,TIME,20346.25,215.76156755563719,1.0604488176230862,20,True
NLMK,2024-02-02,2024-02-07,204.92049,196.88685802152486,SL,22381.71,-899.3878013789655,-4.018405212912532,5,False
PLZL,2024-02-01,2024-02-09,1142.1142,1110.3274722446727,SL,26194.1,-754.8501425683102,-2.8817563595172584,8,False
MGNT,2024-02-16,2024-02-21,7485.24845,7232.514657178128,SL,25506.77,-886.2930961202475,-3.4747366919458926,5,False
LKOH,2024-02-06,2024-02-26,7145.7145,7149.78495,TIME,26258.83,-11.30835696525763,-0.04306496887050043,20,False
SBERP,2024-02-13,2024-03-04,287.158713,295.45045200000004,TIME,25762.56,433.4005576918895,1.6822883971619649,20,True
OZON,2024-03-05,2024-03-14,3395.3395,3223.2645762182715,SL,16884.72,-872.1700864920077,-5.165440033900519,9,False
