strategy,ticker,entry_dt,exit_dt,entry,exit,reason,pos_rub,pnl_rub,pnl_pct,hold_d,win
HeikinAshi,GMKN,2025-09-30,2025-10-04,125.985192,118.99271869681732,SL,16441.38,-928.52,-5.647,4,False
HeikinAshi,OZPH,2025-10-08,2025-10-09,53.41068,47.865610910741815,SL,8689.8,-910.41,-10.477,1,False
HeikinAshi,NVTK,2025-10-18,2025-10-22,1168.8337199999999,1061.1365098262854,SL,9694.62,-902.52,-9.309,4,False
HeikinAshi,GMKN,2025-10-10,2025-10-27,129.0258,119.55642292132471,SL,12178.09,-905.5,-7.435,15,False
HeikinAshi,PHOR,2025-10-22,2025-10-31,6999.3996,6717.216783707339,SL,21994.29,-908.26,-4.13,7,False
HeikinAshi,PLZL,2025-11-14,2025-11-18,2178.63564,2072.1010356582024,SL,17744.94,-885.03,-4.988,4,False
HeikinAshi,GMKN,2025-11-21,2025-12-15,133.346664,137.05258400000002,TIME,17332.31,464.12,2.678,20,True
HeikinAshi,OZON,2025-12-08,2025-12-30,4038.8076,4519.0960000000005,TIME,18608.46,1898.65,10.203,20,True
HeikinAshi,NVTK,2025-12-10,2025-12-30,1200.24,1187.16252,TIME,14713.07,-174.94,-1.189,20,False
HeikinAshi,OZPH,2025-12-13,2026-01-08,51.850368,51.4897,TIME,25460.15,-202.47,-0.795,20,False
HeikinAshi,PLZL,2025-12-12,2026-01-09,2260.05192,2411.5176,TIME,20121.44,1215.66,6.042,20,True
HeikinAshi,GMKN,2025-12-18,2026-01-15,140.508096,155.96880000000002,TIME,22013.18,2013.32,9.146,20,True
HeikinAshi,T,2025-12-30,2026-01-27,3274.6548,3314.337,TIME,26321.22,292.48,1.111,20,True
HeikinAshi,YDEX,2025-12-30,2026-01-27,4536.407099999999,4739.052,TIME,24759.49,1049.66,4.239,20,True
HeikinAshi,PLZL,2026-01-15,2026-01-30,2565.91308,2567.9652972813833,SL,22023.49,399.76,1.815,15,True
HeikinAshi,NVTK,2026-01-21,2026-01-30,1216.2432,1168.4697055079055,SL,23220.78,-934.87,-4.026,9,False
HeikinAshi,GMKN,2026-01-15,2026-02-02,156.03119999999998,156.15599375375996,SL,24886.69,373.1,1.499,18,True
HeikinAshi,IRAO,2026-01-30,2026-02-04,3.590718,3.452941376138006,SL,23985.36,-943.85,-3.935,5,False
HeikinAshi,YDEX,2026-01-27,2026-02-05,4740.948,4599.42482506173,SL,27631.82,-852.06,-3.084,9,False
HeikinAshi,OZPH,2026-01-30,2026-02-21,52.780554,52.099578,TIME,21253.59,-295.33,-1.39,20,False
HeikinAshi,T,2026-01-31,2026-02-22,3334.6668,3508.49816,TIME,27471.28,1212.17,4.413,20,True
HeikinAshi,YDEX,2026-02-16,2026-03-02,4848.969599999999,4657.740582491841,SL,22970.67,-928.41,-4.042,14,False
HeikinAshi,SBER,2026-02-25,2026-03-03,316.31325,311.17873584162646,SL,27319.49,-470.56,-1.722,6,False
HeikinAshi,PLZL,2026-03-03,2026-03-06,2550.5099999999998,2437.8060410200715,SL,20379.75,-920.49,-4.517,3,False
HeikinAshi,GMKN,2026-02-26,2026-03-09,160.47208799999999,154.4660259015808,SL,24456.88,-939.36,-3.841,9,False
HeikinAshi,NVTK,2026-03-03,2026-03-09,1278.8557199999998,1331.1067783689891,SL,22360.27,1410.75,6.309,4,True
HeikinAshi,RUAL,2026-03-09,2026-03-19,45.10902,42.0724032394203,SL,13290.03,-907.49,-6.828,10,False
HeikinAshi,PHOR,2026-03-03,2026-03-20,6961.392,7695.4606,END,26899.8,2133.77,7.932,15,True
HeikinAshi,NVTK,2026-03-09,2026-03-20,1418.3836199999998,1403.7192,END,8964.21,-101.6,-1.133,11,False
HeikinAshi,SBER,2026-03-18,2026-03-20,319.86396,320.095968,END,26765.07,-7.36,-0.028,2,False
APEX_v4,MTLR,2022-02-16,2022-02-18,158.591712,137.6895104508986,SL,30000.0,-3981.99,-13.273,2,False
APEX_v4,PHOR,2022-08-22,2022-09-15,8111.621999999999,7533.490437072471,SL,28805.4,-2080.8,-7.224,18,False
APEX_v4,OZON,2023-01-24,2023-02-14,1634.3268,1635.6339345746399,SL,28181.16,483.61,1.716,15,True
APEX_v4,SBERP,2023-02-02,2023-02-14,155.561106,160.27802524534314,SL,28181.16,1313.07,4.659,8,True
APEX_v4,AFLT,2023-03-21,2023-03-27,29.865972,31.025332597088788,SL,28720.17,1720.31,5.99,4,True
