<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
GMKN;4H;03/01/22;040000;229.98;231.58;229.62;231.58;12020
GMKN;4H;03/01/22;080000;231.58;234.50;231.50;233.58;80046
GMKN;4H;03/01/22;120000;233.58;234.10;233.14;233.74;37194
GMKN;4H;03/01/22;160000;233.62;233.90;231.10;233.50;53636
GMKN;4H;03/01/22;200000;233.50;233.78;233.10;233.78;12504
GMKN;4H;04/01/22;040000;234.00;234.48;233.82;234.26;7798
GMKN;4H;04/01/22;080000;234.28;234.50;231.88;232.88;63755
GMKN;4H;04/01/22;120000;232.84;233.64;232.00;232.10;70695
GMKN;4H;04/01/22;160000;232.10;233.00;231.32;232.70;47625
GMKN;4H;04/01/22;200000;232.66;233.40;232.62;233.14;12103
GMKN;4H;05/01/22;040000;232.66;233.14;231.80;232.12;4526
GMKN;4H;05/01/22;080000;232.06;234.50;232.00;233.96;42103
GMKN;4H;05/01/22;120000;233.96;235.78;233.72;235.04;73498
GMKN;4H;05/01/22;160000;235.02;236.20;233.50;234.18;88946
GMKN;4H;05/01/22;200000;234.18;234.36;226.04;230.10;122718
GMKN;4H;06/01/22;040000;229.40;233.16;228.50;232.80;19858
GMKN;4H;06/01/22;080000;232.80;233.88;230.42;231.30;69068
GMKN;4H;06/01/22;120000;231.30;232.66;230.60;231.44;45098
GMKN;4H;06/01/22;160000;231.46;232.62;230.50;232.46;50298
GMKN;4H;06/01/22;200000;232.46;233.30;232.00;232.80;16758
GMKN;4H;10/01/22;040000;234.98;235.12;233.74;234.50;11723
GMKN;4H;10/01/22;080000;234.62;236.20;233.86;235.56;86164
GMKN;4H;10/01/22;120000;235.50;237.30;235.18;235.96;136555
GMKN;4H;10/01/22;160000;235.98;236.46;234.22;234.90;82145
GMKN;4H;10/01/22;200000;234.88;235.34;234.64;235.08;14762
GMKN;4H;11/01/22;040000;235.10;235.80;234.62;235.54;7659
GMKN;4H;11/01/22;080000;235.50;236.50;234.20;236.10;67317
GMKN;4H;11/01/22;120000;236.12;237.94;235.82;237.50;174472
GMKN;4H;11/01/22;160000;237.54;237.80;236.12;237.22;158120
GMKN;4H;11/01/22;200000;237.20;237.46;236.50;237.34;21193
GMKN;4H;12/01/22;040000;237.02;237.80;236.50;237.14;10351
GMKN;4H;12/01/22;080000;237.14;238.10;235.34;238.06;109820
GMKN;4H;12/01/22;120000;238.08;240.28;238.08;239.92;207950
GMKN;4H;12/01/22;160000;239.92;240.82;239.16;240.22;156281
GMKN;4H;12/01/22;200000;240.24;240.40;239.84;240.40;57477
GMKN;4H;13/01/22;040000;227.00;231.40;226.24;227.82;85896
GMKN;4H;13/01/22;080000;227.84;231.44;227.76;231.10;154173
GMKN;4H;13/01/22;120000;231.00;233.36;228.00;229.40;220116
GMKN;4H;13/01/22;160000;229.46;231.78;222.50;227.84;390687
GMKN;4H;13/01/22;200000;227.84;229.00;226.60;228.36;45871
GMKN;4H;14/01/22;040000;228.00;229.78;227.78;229.02;9174
GMKN;4H;14/01/22;080000;229.10;230.44;225.06;228.84;111190
GMKN;4H;14/01/22;120000;228.84;229.56;224.86;227.16;156203
GMKN;4H;14/01/22;160000;227.20;228.40;221.90;226.08;268630
GMKN;4H;14/01/22;200000;226.08;227.00;224.50;226.48;26380
GMKN;4H;17/01/22;040000;227.00;227.46;223.36;225.18;16191
GMKN;4H;17/01/22;080000;225.08;227.56;222.80;223.76;65032
GMKN;4H;17/01/22;120000;223.66;225.26;219.84;220.08;97083
GMKN;4H;17/01/22;160000;220.02;220.58;215.52;219.28;219279
GMKN;4H;17/01/22;200000;219.26;219.36;217.58;218.20;19695
GMKN;4H;18/01/22;040000;218.38;219.30;214.30;214.60;23133
GMKN;4H;18/01/22;080000;214.50;215.48;209.34;213.76;197729
GMKN;4H;18/01/22;120000;213.74;214.40;206.10;207.14;223942
GMKN;4H;18/01/22;160000;207.12;209.00;197.06;207.56;481504
GMKN;4H;18/01/22;200000;207.54;208.80;205.20;206.94;62784
GMKN;4H;19/01/22;040000;207.04;207.58;198.00;202.80;41666
GMKN;4H;19/01/22;080000;202.80;216.80;199.26;216.38;291842
GMKN;4H;19/01/22;120000;216.40;221.88;212.70;219.66;240709
GMKN;4H;19/01/22;160000;219.78;221.42;217.72;220.30;169949
GMKN;4H;19/01/22;200000;220.34;221.50;219.56;220.24;20923
GMKN;4H;20/01/22;040000;221.46;225.24;219.60;223.88;27980
GMKN;4H;20/01/22;080000;223.66;226.66;217.82;221.08;180738
GMKN;4H;20/01/22;120000;221.08;224.14;220.40;222.66;111805
GMKN;4H;20/01/22;160000;222.62;226.32;222.32;223.94;132154
